Client_ID,Age,Gender,Tenure_Years,Monthly_Spend,Complaints,Overdue_Payments,Revenue_Loss,Attrition_Risk
a6173373-f8f4-492e-80c0-f6944551ab99,64,Female,3,450.4,0,1,574733.6945441919,Low
f0cd27c2-858a-43bc-a0b5-5658fd2da7c6,67,Female,7,338.36,1,0,413310.43021097954,Low
fe1b95b2-d7aa-4696-a18b-3eb83cdf951e,20,Male,2,569.45,0,2,324325.7360963396,Low
644fdbf0-a111-4904-a9d1-0bf80d0d7892,23,Female,6,848.25,0,1,1983900.0107860367,Medium
074b8c19-d78a-42b3-815f-7ac5101f3217,23,Female,3,625.25,1,0,422734.46564978187,Low
7139cd5f-0c66-4561-a0dc-c03f232b0270,59,Female,1,517.49,2,0,252213.47886821488,Low
67e98be7-2f51-45a8-b03c-92512cddc9b7,29,Male,5,352.29,0,1,823194.5955128912,Low
1389c95f-f286-4a53-a796-0c520e58a2f8,39,Male,3,661.37,0,1,749090.452785311,Low
06fb273c-9ca6-4175-b492-1f8e0b3b73ac,41,Male,2,358.05,0,1,2488891.527875251,Medium
4fe1a02c-7520-4be4-8129-9b3bb4b24b3d,56,Female,1,493.32,0,1,4858923.036916691,Medium
01883eb2-5566-4cf8-9dfa-066194757991,43,Female,6,551.74,2,0,250285.00118002892,Low
f4b0006e-6353-4f9b-b009-017219708d74,26,Female,1,476.12,0,1,927510.993198981,Low
c0709583-ff85-4292-a8e4-c6d6699bbb91,44,Female,4,619.27,0,2,670945.9126071922,Medium
a1718589-8e77-41f2-8516-38899c70baa4,44,Male,4,120.79,0,1,1399520.696638353,Medium
992caa87-e877-4c0e-87b3-2ee0dd979b1a,32,Male,3,515.38,0,0,3034410.6241157497,Medium
1566774c-c6b0-467d-9f7b-94c9e7d14781,21,Female,6,558.81,0,1,328483.5922261594,Low
cb79db7f-cf0d-4976-a5c0-eb883ec2f76c,58,Male,6,756.91,0,0,311240.2081101072,Low
a88852f5-afa6-436a-8117-086d2a01ade4,59,Male,1,453.49,4,1,323940.92534626776,Low
06ba8c5c-ddb1-498e-9623-763e550490f6,43,Male,9,549.21,0,0,854213.3216598774,Low
c50aaac8-680f-4339-975e-e1d12efc22dd,66,Female,4,513.09,1,0,3253064.5938201067,Medium
c5d858bd-f6c0-4a4a-998a-884fdc52a901,44,Female,6,584.73,0,3,754980.811883973,Low
5c5c5f57-d59e-46a5-ad02-27c0dc027ce7,37,Female,6,274.99,1,2,647300.3875681892,High
0c96c8fd-b664-4e9b-92ca-5611e535ea0c,57,Male,9,488.27,1,1,203952.26274974056,Low
69018d86-7899-4485-a53a-f58b87439451,45,Female,3,355.27,0,1,828222.3457897409,High
fd968df2-1cab-49eb-8b78-e8ec5313af44,33,Male,9,367.76,1,2,886224.2578351296,Low
156d6bae-81aa-48ce-8afb-1e45a159fc49,28,Male,4,552.1,0,1,2003245.312814431,Medium
a598a90f-48ca-4110-9e45-4d8a008567c3,29,Male,3,383.85,0,4,923597.6508326466,Low
e3ea9106-c900-4a17-b744-0cd8e00d37cc,40,Male,5,596.66,0,1,716693.3574754721,Low
7f43cf11-497b-4423-8df1-fdd9382ecce9,36,Female,6,532.68,0,0,380475.2079793601,Low
d65f0843-4267-4a82-9f10-d978f10641f8,25,Female,4,680.9,0,0,947092.1266274636,Medium
0a33703e-58a9-415b-bb73-fa2af9736800,35,Male,6,334.58,0,1,897645.7371242706,Low
d91a549a-b876-4056-aed4-729c1ce1b356,67,Male,4,570.82,0,1,856193.1373897616,Low
54031473-6335-43ce-a4df-db80e00d6729,20,Male,7,419.97,0,1,3175052.9991926625,Medium
6ae4d2eb-ea2c-4bf1-9757-bbaa56a18214,38,Female,3,341.83,0,0,4115807.2214981657,Medium
f69b8d8d-b29c-4947-9bde-e429d15e0265,55,Male,7,252.6,0,2,3216812.290286923,Medium
4598eb6d-0a94-4344-9a7d-411fec73d9b1,44,Male,1,523.06,1,1,636744.8190563453,Medium
c132eb1b-76f5-4e02-9991-38608bafb624,69,Male,4,362.7,0,0,275853.96293311124,Low
c5997cd8-04bc-44e1-b7c9-d8d1ae7db416,49,Female,1,666.36,0,0,1198964.0033988247,Medium
112d1560-99bf-4004-a0a4-f1fad414f6e3,39,Female,5,501.26,1,2,434234.5526534179,Low
f2f2d882-0eee-4dd4-b0d7-bd29296c6b65,39,Male,1,551.37,0,1,2529953.918188143,Medium
